latitude,longitude,status,volume,capacity,fish_family,timestamp
60.68947409214413,4.380965561580034,operational,27,54.0,trout,2020-09-01 01:00:00 +00:00
60.64430816544831,4.53707604331535,operational,18,36.0,halibut,2020-09-01 01:00:00 +00:00
60.750400027771065,4.56568724863576,operational,43,86.0,cod,2020-09-01 01:00:00 +00:00
60.73141912740006,4.400225652801704,operational,29,58.0,cod,2020-09-01 01:00:00 +00:00
60.731290223458025,4.582154357327517,non-operational,0,0.0,none,
60.61823821665851,4.544937674159958,operational,49,98.0,turbot,2020-09-01 01:00:00 +00:00
60.511113578319,4.550584951069859,operational,23,46.0,cod,2020-09-01 01:00:00 +00:00
60.765714241494514,4.577457266044001,operational,16,32.0,cod,2020-09-01 01:00:00 +00:00
60.679245141106676,4.371696209668135,operational,2,4.0,turbot,2020-09-01 01:00:00 +00:00
60.43772040871244,4.579948934220713,operational,3,6.0,halibut,2020-09-01 01:00:00 +00:00
60.785721698823906,4.482513687813226,operational,31,62.0,trout,2020-09-01 01:00:00 +00:00
60.7464210854187,4.573646935479691,operational,7,14.0,turbot,2020-09-01 01:00:00 +00:00
60.77244209501383,4.310216769282575,operational,37,74.0,trout,2020-09-01 01:00:00 +00:00
60.78685245426229,4.431487533100643,operational,5,10.0,cod,2020-09-01 01:00:00 +00:00
60.43351204628432,4.625959720841171,operational,32,64.0,cod,2020-09-01 01:00:00 +00:00
60.49815321174953,4.5387909099876085,operational,18,36.0,trout,2020-09-01 01:00:00 +00:00
60.70474494405368,4.600288618858328,operational,44,88.0,halibut,2020-09-01 01:00:00 +00:00
60.76554545412297,4.543967854023227,non-operational,0,0.0,none,
60.78720501886576,4.586430801486401,operational,33,66.0,turbot,2020-09-01 01:00:00 +00:00
60.740506596703554,4.5194075612234865,operational,13,26.0,cod,2020-09-01 01:00:00 +00:00
60.60310267198513,4.514215451950395,operational,33,66.0,cod,2020-09-01 01:00:00 +00:00
60.7432819401349,4.5472723639895065,operational,33,66.0,turbot,2020-09-01 01:00:00 +00:00
60.74010765609977,4.456074988982246,operational,43,86.0,halibut,2020-09-01 01:00:00 +00:00
60.76137518259877,4.60523109462577,operational,14,28.0,turbot,2020-09-01 01:00:00 +00:00
60.65630311428204,4.440862163147251,operational,13,26.0,trout,2020-09-01 01:00:00 +00:00
60.7615367794393,4.504850535030463,operational,35,70.0,cod,2020-09-01 01:00:00 +00:00
60.43242848351559,4.59666796980257,operational,42,84.0,turbot,2020-09-01 01:00:00 +00:00
60.78264889876409,4.622285690240726,operational,41,82.0,turbot,2020-09-01 01:00:00 +00:00
60.351841102840304,4.607251245789809,operational,15,30.0,trout,2020-09-01 01:00:00 +00:00
60.77278939870378,4.254957816230744,operational,17,34.0,halibut,2020-09-01 01:00:00 +00:00
60.516024386150164,4.530395340117642,operational,48,96.0,halibut,2020-09-01 01:00:00 +00:00
60.76303458538953,4.603585747134934,operational,21,42.0,cod,2020-09-01 01:00:00 +00:00
60.79172543200037,4.591092860600068,operational,49,98.0,trout,2020-09-01 01:00:00 +00:00
60.46043806316385,4.561587624700777,operational,3,6.0,cod,2020-09-01 01:00:00 +00:00
60.76723882464996,4.591595032318665,non-operational,0,0.0,none,
60.5335365797467,4.57471121517303,operational,7,14.0,trout,2020-09-01 01:00:00 +00:00
60.67371965032263,4.426884410520639,operational,50,100.0,trout,2020-09-01 01:00:00 +00:00
60.46228029687789,4.352557180775514,operational,34,68.0,halibut,2020-09-01 01:00:00 +00:00
60.67437914240015,4.506998451554059,operational,8,16.0,halibut,2020-09-01 01:00:00 +00:00
60.758496528393984,4.626777917686209,operational,19,38.0,halibut,2020-09-01 01:00:00 +00:00
60.71131429272425,4.3102507922156565,operational,45,90.0,trout,2020-09-01 01:00:00 +00:00
60.77474211166401,4.478394163349239,operational,26,52.0,cod,2020-09-01 01:00:00 +00:00
60.48408579074543,4.579260320385211,operational,9,18.0,cod,2020-09-01 01:00:00 +00:00
60.65494605579875,4.560065001041874,operational,34,68.0,cod,2020-09-01 01:00:00 +00:00
60.566758725582595,4.306404335945689,operational,5,10.0,turbot,2020-09-01 01:00:00 +00:00
60.699257346599424,4.5783197644351326,operational,25,50.0,turbot,2020-09-01 01:00:00 +00:00
60.62695115375792,4.57566499404568,operational,39,78.0,halibut,2020-09-01 01:00:00 +00:00
60.714199253697124,4.619893025474762,operational,22,44.0,cod,2020-09-01 01:00:00 +00:00
60.758764605311455,4.605120430482409,operational,40,80.0,turbot,2020-09-01 01:00:00 +00:00
60.755001902778176,4.60133166324808,operational,36,72.0,turbot,2020-09-01 01:00:00 +00:00
60.42848878942944,4.280668089191026,operational,0,0.0,turbot,2020-09-01 01:00:00 +00:00
